date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:08:11	151113/151113	---MCZ	200	added ('OK')	text/html	date:Sun,%2003%20Apr%202022%2012:08:11%20GMT	https://www.growoyun.com/woltfteam	C:/Users/doruk/Desktop/growbank/www.growoyun.com/woltfteam.html	(from https://www.growoyun.com/)
15:08:12	151429/151429	---MCZ	200	added ('OK')	text/html	date:Sun,%2003%20Apr%202022%2012:08:12%20GMT	https://www.growoyun.com/apex-legends	C:/Users/doruk/Desktop/growbank/www.growoyun.com/apex-legends.html	(from https://www.growoyun.com/)
15:08:12	41880/41880	---M--	200	added ('OK')	application/octet-stream	etag:0x8D971141E2CC7A0	https://cdn.playanka.com/hvsxxiey/Media/Uploaded/megamenu-images/ozelfirsatlar.png	C:/Users/doruk/Desktop/growbank/cdn.playanka.com/hvsxxiey/Media/Uploaded/megamenu-images/ozelfirsatlar.png	(from https://www.growoyun.com/)
15:08:13	180008/180008	---MCZ	200	added ('OK')	text/html	date:Sun,%2003%20Apr%202022%2012:08:13%20GMT	https://www.growoyun.com/diamond-lock	C:/Users/doruk/Desktop/growbank/www.growoyun.com/diamond-lock.html	(from https://www.growoyun.com/)
15:08:13	23079/23079	---M--	200	added ('OK')	application/octet-stream	etag:0x8D96C767E9B7EBB	https://cdn.playanka.com/hvsxxiey/Media/Uploaded/megamenu-images/diamonlock.png	C:/Users/doruk/Desktop/growbank/cdn.playanka.com/hvsxxiey/Media/Uploaded/megamenu-images/diamonlock.png	(from https://www.growoyun.com/)
15:08:14	181656/181656	---MCZ	200	added ('OK')	text/html	date:Sun,%2003%20Apr%202022%2012:08:14%20GMT	https://www.growoyun.com/growtopia-hesap	C:/Users/doruk/Desktop/growbank/www.growoyun.com/growtopia-hesap.html	(from https://www.growoyun.com/)
15:08:14	24369/24369	---M--	200	added ('OK')	application/octet-stream	etag:0x8D96C767F677F40	https://cdn.playanka.com/hvsxxiey/Media/Uploaded/megamenu-images/hesap.png	C:/Users/doruk/Desktop/growbank/cdn.playanka.com/hvsxxiey/Media/Uploaded/megamenu-images/hesap.png	(from https://www.growoyun.com/)
15:08:15	162566/162566	---MCZ	200	added ('OK')	text/html	date:Sun,%2003%20Apr%202022%2012:08:15%20GMT	https://www.growoyun.com/growtopia-itemler	C:/Users/doruk/Desktop/growbank/www.growoyun.com/growtopia-itemler.html	(from https://www.growoyun.com/)
15:08:15	24152/24152	---M--	200	added ('OK')	application/octet-stream	etag:0x8D96C76802F6047	https://cdn.playanka.com/hvsxxiey/Media/Uploaded/megamenu-images/item.png	C:/Users/doruk/Desktop/growbank/cdn.playanka.com/hvsxxiey/Media/Uploaded/megamenu-images/item.png	(from https://www.growoyun.com/)
15:08:16	138722/138722	---MCZ	200	added ('OK')	text/html	date:Sun,%2003%20Apr%202022%2012:08:15%20GMT	https://www.growoyun.com/growtopia-world-lock	C:/Users/doruk/Desktop/growbank/www.growoyun.com/growtopia-world-lock.html	(from https://www.growoyun.com/)
15:08:16	23330/23330	---M--	200	added ('OK')	application/octet-stream	etag:0x8D96C7680FC2424	https://cdn.playanka.com/hvsxxiey/Media/Uploaded/megamenu-images/worldlock.png	C:/Users/doruk/Desktop/growbank/cdn.playanka.com/hvsxxiey/Media/Uploaded/megamenu-images/worldlock.png	(from https://www.growoyun.com/)
15:08:17	114395/114395	---MCZ	200	added ('OK')	text/html	date:Sun,%2003%20Apr%202022%2012:08:17%20GMT	https://www.growoyun.com/growtopia-growturk	C:/Users/doruk/Desktop/growbank/www.growoyun.com/growtopia-growturk.html	(from https://www.growoyun.com/)
15:08:18	157827/157827	---MCZ	200	added ('OK')	text/html	date:Sun,%2003%20Apr%202022%2012:08:18%20GMT	https://www.growoyun.com/growturk-yetki	C:/Users/doruk/Desktop/growbank/www.growoyun.com/growturk-yetki.html	(from https://www.growoyun.com/)
